"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",1,0,0,2,4,7,14,0.977850776,5,1,6,20
"E401_POOLRET73_S389_L003",0,0,0,0,0,13,13,0.963420404,3,2,5,18
"E402_POOLRET72_S359_L002",0,0,1,0,1,4,6,0.973925916,4,2,6,12
"E403_POOLRET73_S421_L003",1,0,1,1,1,10,14,0.967777904,1,2,3,17
"E404_POOLRET72_S280_L002",4,1,0,3,2,10,20,0.972804508,5,0,5,25
"E406_POOLRET73_S403_L003",1,0,0,0,0,4,5,0.974240914,4,2,6,11
"E407_POOLRET73_S467_L003",0,0,0,1,0,7,8,0.97472089,2,2,4,12
"E408_POOLRET72_S251_L002",2,0,0,0,0,12,14,0.97808683,2,2,4,18
"E410_POOLRET73_S390_L003",0,0,0,1,1,6,8,0.976774568,4,5,9,17
"E411_POOLRET72_S300_L002",1,0,1,2,2,7,13,0.966869516,5,3,8,21
"E414_POOLRET72_S368_L002",2,0,0,0,1,16,19,0.974958898,1,2,3,22
"E415_POOLRET72_S354_L002",0,0,0,0,0,5,5,0.973252884,1,2,3,8
"E416_POOLRET73_S423_L003",3,2,0,0,0,7,12,0.975159314,1,1,2,14
"E417_POOLRET73_S445_L003",0,0,0,0,0,12,12,0.96275148,4,2,6,18
"E418_POOLRET73_S500_L003",0,0,1,2,1,13,17,0.9751713,5,2,7,24
"E419_POOLRET73_S523_L003",0,0,0,1,1,9,11,0.971488717,2,2,4,15
"E420_POOLRET72_S210_L002",1,0,2,2,0,14,19,0.9758207,4,1,5,24
"E421_POOLRET73_S567_L003",0,0,1,1,0,9,11,0.969476918,0,4,4,15
"E422_POOLRET73_S561_L003",0,0,0,0,1,12,13,0.973466492,3,4,7,20
"E424_POOLRET72_S370_L002",1,1,2,2,0,7,13,0.974935914,4,2,6,19
"E425_POOLRET73_S563_L003",0,0,0,1,2,9,12,0.97716146,6,1,7,19
"E426_POOLRET72_S234_L002",0,0,0,1,0,9,10,0.975244979,2,4,6,16
"E429_POOLRET73_S533_L003",1,0,0,0,1,7,9,0.975516601,4,0,4,13
"E430_POOLRET72_S380_L002",1,0,0,0,0,7,8,0.976039463,1,1,2,10
"E431_POOLRET73_S454_L003",2,0,2,0,2,2,8,0.976791001,7,5,12,20
"E432_POOLRET72_S367_L002",1,0,1,1,0,8,11,0.964160355,4,2,6,17
"E433_POOLRET72_S200_L002",0,1,0,0,1,9,11,0.967951816,2,3,5,16
"E434_POOLRET72_S202_L002",1,1,1,0,0,14,17,0.966688106,1,1,2,19
"E435_POOLRET72_S378_L002",1,0,1,1,0,10,13,0.956196474,2,2,4,17
"E436_POOLRET72_S320_L002",0,0,0,1,2,6,9,0.97690317,3,3,6,15
"E437_POOLRET72_S315_L002",1,0,0,1,2,9,13,0.975022635,4,3,7,20
"E438_POOLRET72_S246_L002",1,0,2,1,2,11,17,0.978818903,5,1,6,23
"E439_POOLRET73_S425_L003",1,0,0,1,1,6,9,0.972085557,1,1,2,11
"E440_POOLRET73_S385_L003",1,2,0,1,0,4,8,0.974696569,6,1,7,15
"E441_POOLRET72_S363_L002",0,0,0,0,1,5,6,0.975011936,7,3,10,16
"E442_POOLRET72_S350_L002",1,0,0,1,0,8,10,0.975687132,6,1,7,17
"E444_POOLRET73_S442_L003",2,0,0,1,0,9,12,0.975686903,3,4,7,19
"E445_POOLRET73_S401_L003",0,0,2,2,0,11,15,0.975292752,5,1,6,21
"E447_POOLRET73_S430_L003",1,0,0,2,0,11,14,0.974693747,1,5,6,20
"E448_POOLRET73_S543_L003",1,0,0,0,2,9,12,0.97635832,4,1,5,17
"E451_POOLRET72_S252_L002",2,0,1,2,1,5,11,0.966519538,5,4,9,20
"E456_POOLRET72_S356_L002",2,0,0,2,1,8,13,0.975407922,4,3,7,20
"E457_POOLRET73_S512_L003",2,0,1,0,0,9,12,0.971795209,4,0,4,16
"E465_POOLRET72_S366_L002",1,1,0,1,0,10,13,0.955193945,2,3,5,18
"E467_POOLRET72_S201_L002",0,0,1,1,1,5,8,0.971931618,5,2,7,15
"E468_POOLRET73_S562_L003",1,0,0,0,0,9,10,0.955343636,5,1,6,16
"E469_POOLRET72_S383_L002",2,1,2,2,1,9,17,0.948536721,2,3,5,22
"E470_POOLRET72_S323_L002",2,1,0,2,1,7,13,0.977295546,1,1,2,15
"E471_POOLRET73_S483_L003",1,0,0,0,2,9,12,0.971039224,3,1,4,16
"E473_POOLRET72_S263_L002",2,0,2,2,1,8,15,0.96986743,3,3,6,21
"E474_POOLRET72_S266_L002",2,0,0,0,4,8,14,0.976553671,1,3,4,18
"E475_POOLRET72_S196_L002",2,0,2,0,0,14,18,0.950087998,3,3,6,24
"E476_POOLRET72_S362_L002",1,2,0,1,0,8,12,0.977634106,4,1,5,17
"E481_POOLRET72_S296_L002",0,0,1,0,0,6,7,0.97199735,2,1,3,10
"E482_POOLRET73_S468_L003",2,0,0,1,1,14,18,0.97593224,4,3,7,25
"E483_POOLRET72_S381_L002",1,0,2,1,4,12,20,0.976446557,5,6,11,31
"E485_POOLRET72_S372_L002",1,1,0,0,1,5,8,0.967223512,3,1,4,12
"E486_POOLRET73_S531_L003",0,1,2,0,4,6,13,0.973087538,8,2,10,23
"E488_POOLRET72_S195_L002",2,1,2,0,2,11,18,0.97518507,6,2,8,26
"E489_POOLRET73_S488_L003",0,0,0,1,1,7,9,0.966218231,1,2,3,12
"E490_POOLRET72_S288_L002",0,1,0,1,1,6,9,0.972880002,2,2,4,13
"E491_POOLRET72_S214_L002",1,0,0,1,1,6,9,0.971217414,5,4,9,18
"E492_POOLRET73_S508_L003",1,1,2,0,0,8,12,0.971187749,4,3,7,19
"E493_POOLRET72_S227_L002",2,0,1,0,0,9,12,0.97861736,3,0,3,15
"E495_POOLRET72_S211_L002",0,2,0,1,1,15,19,0.973704082,3,3,6,25
"E496_POOLRET73_S535_L003",1,0,1,2,1,3,8,0.95718581,5,2,7,15
"E497_POOLRET73_S392_L003",2,0,0,0,1,10,13,0.975721414,5,0,5,18
"E499_POOLRET72_S231_L002",1,0,0,1,0,7,9,0.966589279,3,0,3,12
"H7GWFDSX7_E405_POOLRET74",1,0,1,2,1,9,14,0.980276399,4,9,13,27
"H7GWFDSX7_E412_POOLRET74",0,1,1,0,2,12,16,0.976032822,0,1,1,17
"H7GWFDSX7_E413_POOLRET74",0,0,1,2,0,8,11,0.974966426,5,4,9,20
"H7GWFDSX7_E423_POOLRET74",1,0,0,2,1,11,15,0.977437689,0,4,4,19
"H7GWFDSX7_E427_POOLRET74",0,0,0,0,2,13,15,0.974425565,4,1,5,20
"H7GWFDSX7_E428_POOLRET74",0,1,0,0,1,6,8,0.980204814,3,0,3,11
"H7GWFDSX7_E443_POOLRET74",0,0,0,2,2,10,14,0.980491702,3,3,6,20
"H7GWFDSX7_E446_POOLRET74",0,1,0,1,0,11,13,0.98045759,3,2,5,18
"H7GWFDSX7_E449_POOLRET74",2,1,1,1,2,9,16,0.965858432,2,1,3,19
"H7GWFDSX7_E450_POOLRET74",1,0,2,2,0,9,14,0.979434021,6,0,6,20
"H7GWFDSX7_E452_POOLRET74",2,0,1,1,0,6,10,0.973632168,5,2,7,17
"H7GWFDSX7_E453_POOLRET74",1,1,1,2,0,6,11,0.973158385,5,5,10,21
"H7GWFDSX7_E454_POOLRET74",0,0,1,1,0,6,8,0.966699613,7,3,10,18
"H7GWFDSX7_E455_POOLRET74",2,0,0,0,3,10,15,0.975124883,3,2,5,20
"H7GWFDSX7_E458_POOLRET74",1,0,0,0,0,8,9,0.943608197,5,3,8,17
"H7GWFDSX7_E459_POOLRET74",1,0,0,0,3,6,10,0.976615852,3,1,4,14
"H7GWFDSX7_E460_POOLRET74",2,0,2,1,1,11,17,0.980036855,7,3,10,27
"H7GWFDSX7_E461_POOLRET74",2,0,1,0,0,11,14,0.977258412,3,1,4,18
"H7GWFDSX7_E462_POOLRET74",1,0,0,2,0,11,14,0.974310495,1,8,9,23
"H7GWFDSX7_E463_POOLRET74",1,0,0,2,2,10,15,0.980336865,2,4,6,21
"H7GWFDSX7_E464_POOLRET74",1,0,1,2,1,8,13,0.977576172,5,1,6,19
"H7GWFDSX7_E466_POOLRET74",0,0,0,2,2,11,15,0.971299887,3,2,5,20
"H7GWFDSX7_E472_POOLRET74",0,0,0,1,0,7,8,0.979084841,1,1,2,10
"H7GWFDSX7_E477_POOLRET74",1,0,0,1,1,7,10,0.976434153,7,4,11,21
"H7GWFDSX7_E478_POOLRET74",1,0,0,1,0,8,10,0.978988238,6,1,7,17
"H7GWFDSX7_E479_POOLRET74",2,1,1,1,0,4,9,0.975571005,5,3,8,17
"H7GWFDSX7_E480_POOLRET74",2,0,0,3,1,12,18,0.971517564,2,0,2,20
"H7GWFDSX7_E484_POOLRET74",0,0,0,0,1,5,6,0.977079694,1,2,3,9
"H7GWFDSX7_E487_POOLRET74",2,0,0,2,1,8,13,0.971705157,6,1,7,20
"H7GWFDSX7_E494_POOLRET74",1,0,0,1,0,12,14,0.979139206,6,2,8,22
"H7GWFDSX7_E498_POOLRET74",0,0,0,0,0,12,12,0.975487614,6,1,7,19
"G201_POOLRET73_S509_L003",0,0,0,0,0,13,13,0.963420404,2,2,4,17
"G202_POOLRET73_S446_L003",1,0,0,0,0,10,11,0.973925916,5,3,8,19
"G203_POOLRET72_S273_L002",2,0,2,1,1,7,13,0.967777904,4,0,4,17
"G204_POOLRET73_S504_L003",1,0,0,2,2,7,12,0.972804508,3,2,5,17
"G206_POOLRET73_S465_L003",1,0,1,0,1,7,10,0.974240914,4,2,6,16
"G209_POOLRET72_S352_L002",0,0,0,1,1,9,11,97,5,3,8,19
"G210_POOLRET73_S494_L003",0,0,0,0,1,7,8,0.976774568,3,3,6,14
"G211_POOLRET73_S395_L003",2,1,1,2,1,2,9,0.966869516,1,0,1,10
"G212_POOLRET73_S396_L003",2,1,1,0,2,9,15,0.976032822,2,2,4,19
"G213_POOLRET72_S193_L002",1,0,1,2,2,6,12,0.974966426,5,1,6,18
"G214_POOLRET72_S332_L002",1,0,0,1,0,9,11,0.974958898,2,4,6,17
"G215_POOLRET72_S264_L002",1,0,0,1,2,9,13,0.973252884,1,1,2,15
"G216_POOLRET73_S502_L003",2,1,1,0,0,6,10,0.975159314,0,0,0,10
"G217_POOLRET73_S397_L003",1,0,0,0,0,6,7,0.96275148,2,2,4,11
"G218_POOLRET73_S521_L003",0,0,0,1,1,15,17,0.9751713,1,3,4,21
"G219_POOLRET73_S574_L003",0,0,0,1,1,11,13,0.971488717,2,1,3,16
"G221_POOLRET72_S308_L002",0,0,1,1,0,9,11,0.969476918,1,4,5,16
"G222_POOLRET72_S297_L002",0,0,0,0,1,8,9,0.973466492,2,8,10,19
"G223_POOLRET73_S451_L003",1,1,0,0,2,8,12,0.977437689,0,3,3,15
"G224_POOLRET73_S441_L003",0,1,0,2,0,8,11,0.974935914,4,1,5,16
"G226_POOLRET72_S258_L002",0,0,1,1,0,8,10,0.975244979,6,5,11,21
"G227_POOLRET72_S377_L002",0,0,0,1,0,14,15,0.974425565,1,2,3,18
"G229_POOLRET73_S539_L003",1,0,1,0,1,6,9,0.975516601,6,1,7,16
"G230_POOLRET73_S458_L003",1,0,0,0,0,5,6,0.976039463,0,1,1,7
"G231_POOLRET73_S457_L003",0,0,0,0,3,6,9,0.976791001,3,3,6,15
"G232_POOLRET73_S558_L003",1,0,0,0,0,8,9,0.964160355,3,2,5,14
"G233_POOLRET72_S242_L002",1,0,0,0,3,11,15,0.967951816,2,3,5,20
"G234_POOLRET72_S215_L002",0,0,0,0,0,1,1,0.966688106,1,0,1,2
"G235_POOLRET73_S570_L003",2,0,1,2,1,8,14,0.956196474,2,2,4,18
"G237_POOLRET72_S307_L002",1,0,0,3,3,7,14,0.975022635,2,3,5,19
"G239_POOLRET73_S444_L003",1,0,0,1,1,5,8,0.972085557,1,0,1,9
"G241_POOLRET73_S452_L003",2,0,1,0,1,4,8,0.975011936,5,2,7,15
"G242_POOLRET72_S286_L002",2,0,0,1,0,3,6,0.975687132,4,2,6,12
"G244_POOLRET73_S408_L003",1,0,0,3,0,9,13,0.975686903,2,4,6,19
"G245_POOLRET73_S519_L003",1,0,0,1,0,8,10,0.975292752,2,1,3,13
"G247_POOLRET73_S530_L003",0,0,0,1,0,8,9,0.974693747,3,3,6,15
"G248_POOLRET73_S387_L003",2,0,0,0,2,11,15,0.97635832,5,0,5,20
"G249_POOLRET72_S198_L002",1,1,0,1,1,12,16,0.965858432,3,0,3,19
"G252_POOLRET73_S481_L003",0,2,2,2,0,8,14,0.973632168,4,2,6,20
"G253_POOLRET73_S431_L003",1,1,1,1,2,3,9,0.973158385,3,3,6,15
"G254_POOLRET73_S447_L003",0,0,1,0,0,8,9,0.966699613,3,2,5,14
"G255_POOLRET72_S237_L002",1,0,0,0,0,9,10,0.975124883,3,0,3,13
"G257_POOLRET73_S540_L003",2,0,1,1,1,5,10,0.971795209,5,1,6,16
"G258_POOLRET73_S473_L003",3,1,1,0,1,9,15,0.943608197,6,2,8,23
"G259_POOLRET73_S428_L003",1,0,0,2,2,6,11,0.976615852,1,3,4,15
"G261_POOLRET72_S254_L002",3,0,1,1,0,6,11,0.977258412,2,3,5,16
"G262_POOLRET73_S394_L003",1,1,0,1,0,5,8,0.974310495,4,2,6,14
"G264_POOLRET73_S470_L003",1,0,1,1,1,5,9,0.977576172,6,3,9,18
"G265_POOLRET72_S298_L002",2,0,0,0,1,7,10,0.955193945,3,3,6,16
"G266_POOLRET73_S407_L003",0,0,0,0,1,10,11,0.971299887,3,1,4,15
"G268_POOLRET72_S342_L002",3,0,2,0,0,14,19,0.955343636,1,3,4,23
"G269_POOLRET73_S573_L003",0,0,1,2,1,6,10,0.948536721,2,1,3,13
"G270_POOLRET72_S345_L002",1,1,2,2,0,7,13,0.977295546,0,1,1,14
"G271_POOLRET73_S413_L003",0,0,0,0,3,4,7,0.971039224,0,2,2,9
"G273_POOLRET73_S525_L003",0,0,2,2,0,5,9,0.96986743,1,1,2,11
"G274_POOLRET72_S271_L002",2,0,0,0,3,6,11,0.976553671,0,0,0,11
"G277_POOLRET72_S364_L002",1,1,0,0,2,8,12,0.976434153,4,4,8,20
"G279_POOLRET72_S305_L002",1,1,0,1,0,5,8,0.975571005,2,3,5,13
"G280_POOLRET73_S487_L003",4,0,1,1,1,13,20,0.971517564,2,0,2,22
"G281_POOLRET73_S422_L003",0,0,0,1,0,8,9,0.97199735,1,0,1,10
"G282_POOLRET72_S248_L002",1,0,0,2,2,13,18,0.97593224,4,1,5,23
"G283_POOLRET73_S427_L003",2,0,2,1,5,9,19,0.976446557,1,2,3,22
"G284_POOLRET73_S463_L003",1,0,0,0,1,1,3,0.977079694,2,2,4,7
"G285_POOLRET72_S325_L002",2,0,0,0,3,8,13,0.967223512,7,2,9,22
"G286_POOLRET73_S548_L003",0,1,2,1,1,10,15,0.973087538,2,2,4,19
"G287_POOLRET73_S549_L003",2,0,0,2,1,10,15,0.971705157,4,1,5,20
"G289_POOLRET73_S537_L003",2,0,0,0,1,8,11,0.966218231,1,4,5,16
"G290_POOLRET73_S426_L003",0,1,1,0,1,7,10,0.972880002,3,0,3,13
"G295_POOLRET73_S434_L003",1,1,0,3,0,11,16,0.973704082,4,3,7,23
"G296_POOLRET73_S386_L003",1,0,1,2,2,5,11,0.95718581,2,2,4,15
"G297_POOLRET72_S331_L002",1,0,0,0,0,6,7,0.975721414,2,3,5,12
"G298_POOLRET72_S306_L002",1,0,1,0,0,10,12,0.975487614,3,0,3,15
"G299_POOLRET72_S349_L002",1,0,1,1,2,6,11,0.966589279,2,2,4,15
"H7GWFDSX7_G200_POOLRET74",0,0,0,1,3,7,11,0.977850776,4,1,5,16
"H7GWFDSX7_G205_POOLRET74",1,0,2,2,0,9,14,0.980276399,4,4,8,22
"H7GWFDSX7_G207_POOLRET74",0,1,1,1,1,12,16,0.97472089,4,4,8,24
"H7GWFDSX7_G208_POOLRET74",0,1,1,0,0,6,8,0.97808683,3,1,4,12
"H7GWFDSX7_G220_POOLRET74",0,1,2,1,0,9,13,0.9758207,7,2,9,22
"H7GWFDSX7_G225_POOLRET74",0,0,0,1,2,11,14,0.97716146,7,3,10,24
"H7GWFDSX7_G228_POOLRET74",1,1,0,1,0,6,9,0.980204814,3,6,9,18
"H7GWFDSX7_G236_POOLRET74",0,0,0,1,1,6,8,0.97690317,5,3,8,16
"H7GWFDSX7_G238_POOLRET74",1,1,1,1,1,13,18,0.978818903,3,1,4,22
"H7GWFDSX7_G240_POOLRET74",1,1,0,1,0,6,9,0.974696569,5,2,7,16
"H7GWFDSX7_G243_POOLRET74",0,0,0,1,1,9,11,0.980491702,5,2,7,18
"H7GWFDSX7_G246_POOLRET74",0,0,0,0,0,1,1,0.98045759,1,0,1,2
"H7GWFDSX7_G250_POOLRET74",2,0,2,2,0,6,12,0.979434021,2,1,3,15
"H7GWFDSX7_G251_POOLRET74",0,0,0,1,0,13,14,0.966519538,6,2,8,22
"H7GWFDSX7_G256_POOLRET74",1,0,0,0,1,11,13,0.975407922,2,5,7,20
"H7GWFDSX7_G260_POOLRET74",3,2,2,1,1,12,21,0.980036855,2,1,3,24
"H7GWFDSX7_G263_POOLRET74",1,0,0,4,2,10,17,0.980336865,0,4,4,21
"H7GWFDSX7_G267_POOLRET74",1,0,0,2,1,8,12,0.971931618,6,3,9,21
"H7GWFDSX7_G272_POOLRET74",0,0,0,1,0,7,8,0.979084841,1,0,1,9
"H7GWFDSX7_G275_POOLRET74",0,0,2,2,1,9,14,0.950087998,2,3,5,19
"H7GWFDSX7_G276_POOLRET74",1,1,0,0,0,9,11,0.977634106,6,2,8,19
"H7GWFDSX7_G278_POOLRET74",1,0,0,2,0,6,9,0.978988238,3,1,4,13
"H7GWFDSX7_G288_POOLRET74",2,0,1,0,2,13,18,0.97518507,4,2,6,24
"H7GWFDSX7_G291_POOLRET74",0,0,0,2,1,11,14,0.971217414,6,2,8,22
"H7GWFDSX7_G292_POOLRET74",1,0,0,0,3,7,11,0.971187749,1,4,5,16
"H7GWFDSX7_G293_POOLRET74",1,0,1,1,0,11,14,0.97861736,8,2,10,24
"H7GWFDSX7_G294_POOLRET74",1,0,1,0,1,6,9,0.979139206,3,2,5,14
