"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",400,1,4,3,4,5,3,2,21,0.977850776,4,0,4,25
"E401_POOLRET73_S389_L003",401,1,8,1,1,1,1,7,19,0.963420404,3,0,3,22
"E402_POOLRET72_S359_L002",402,1,5,0,3,5,0,5,18,0.973925916,0,0,0,18
"E403_POOLRET73_S421_L003",403,1,5,1,2,6,6,1,21,0.967777904,7,4,11,32
"E404_POOLRET72_S280_L002",404,1,8,0,1,1,0,2,12,0.972804508,1,2,3,15
"E406_POOLRET73_S403_L003",406,1,9,1,2,2,0,3,17,0.974240914,4,0,4,21
"E407_POOLRET73_S467_L003",407,1,8,4,6,3,2,4,27,0.97472089,0,1,1,28
"E408_POOLRET72_S251_L002",408,1,5,0,2,2,1,1,11,0.97808683,0,1,1,12
"E410_POOLRET73_S390_L003",410,1,8,3,0,1,3,2,17,0.976774568,4,1,5,22
"E411_POOLRET72_S300_L002",411,1,8,0,2,4,1,2,17,0.966869516,1,2,3,20
"E414_POOLRET72_S368_L002",414,1,11,0,6,2,3,3,25,0.974958898,0,1,1,26
"E415_POOLRET72_S354_L002",415,1,4,3,4,3,3,4,21,0.973252884,2,0,2,23
"E416_POOLRET73_S423_L003",416,1,6,0,0,1,2,1,10,0.975159314,0,0,0,10
"E417_POOLRET73_S445_L003",417,1,13,3,4,3,0,3,26,0.96275148,2,1,3,29
"E418_POOLRET73_S500_L003",418,1,6,3,0,6,1,4,20,0.9751713,0,0,0,20
"E419_POOLRET73_S523_L003",419,1,5,4,2,6,6,2,25,0.971488717,1,0,1,26
"E420_POOLRET72_S210_L002",420,1,9,1,2,3,2,4,21,0.9758207,3,0,3,24
"E421_POOLRET73_S567_L003",421,1,2,1,0,2,1,0,6,0.969476918,1,1,2,8
"E422_POOLRET73_S561_L003",422,1,3,3,3,5,3,0,17,0.973466492,3,0,3,20
"E424_POOLRET72_S370_L002",424,1,2,1,3,2,2,5,15,0.974935914,4,0,4,19
"E425_POOLRET73_S563_L003",425,1,9,3,0,3,0,4,19,0.97716146,3,1,4,23
"E426_POOLRET72_S234_L002",426,1,9,3,5,3,2,2,24,0.975244979,6,3,9,33
"E429_POOLRET73_S533_L003",429,1,10,0,4,3,3,2,22,0.975516601,1,1,2,24
"E430_POOLRET72_S380_L002",430,1,5,4,4,1,6,5,25,0.976039463,1,0,1,26
"E431_POOLRET73_S454_L003",431,1,4,0,4,2,2,2,14,0.976791001,3,3,6,20
"E432_POOLRET72_S367_L002",432,1,5,2,5,0,3,1,16,0.964160355,1,0,1,17
"E433_POOLRET72_S200_L002",433,1,5,1,1,2,2,2,13,0.967951816,2,1,3,16
"E434_POOLRET72_S202_L002",434,1,0,0,0,0,0,1,1,0.966688106,0,0,0,1
"E435_POOLRET72_S378_L002",435,1,8,0,6,1,1,5,21,0.956196474,2,1,3,24
"E436_POOLRET72_S320_L002",436,1,7,2,2,0,0,6,17,0.97690317,1,2,3,20
"E437_POOLRET72_S315_L002",437,1,7,2,8,5,3,7,32,0.975022635,4,1,5,37
"E438_POOLRET72_S246_L002",438,1,6,0,4,2,2,6,20,0.978818903,2,2,4,24
"E439_POOLRET73_S425_L003",439,1,8,0,3,3,1,2,17,0.972085557,3,0,3,20
"E440_POOLRET73_S385_L003",440,1,5,2,5,4,2,1,19,0.974696569,2,2,4,23
"E441_POOLRET72_S363_L002",441,1,9,2,4,4,1,1,21,0.975011936,0,2,2,23
"E442_POOLRET72_S350_L002",442,1,5,3,3,1,1,1,14,0.975687132,2,6,8,22
"E444_POOLRET73_S442_L003",444,1,2,0,4,4,6,4,20,0.975686903,2,0,2,22
"E445_POOLRET73_S401_L003",445,1,14,4,3,5,1,2,29,0.975292752,2,2,4,33
"E447_POOLRET73_S430_L003",447,1,6,1,2,6,5,1,21,0.974693747,5,2,7,28
"E448_POOLRET73_S543_L003",448,1,5,2,2,4,0,1,14,0.97635832,2,0,2,16
"E451_POOLRET72_S252_L002",451,1,8,7,3,2,2,2,24,0.966519538,1,0,1,25
"E456_POOLRET72_S356_L002",456,1,8,0,3,0,1,2,14,0.975407922,2,1,3,17
"E457_POOLRET73_S512_L003",457,1,5,2,3,5,1,4,20,0.971795209,1,0,1,21
"E465_POOLRET72_S366_L002",465,1,6,1,5,2,3,7,24,0.955193945,3,0,3,27
"E467_POOLRET72_S201_L002",467,1,8,1,2,2,3,3,19,0.971931618,0,1,1,20
"E468_POOLRET73_S562_L003",468,1,9,1,4,4,3,2,23,0.955343636,4,0,4,27
"E469_POOLRET72_S383_L002",469,1,5,0,2,3,0,4,14,0.948536721,0,1,1,15
"E470_POOLRET72_S323_L002",470,1,6,1,6,3,1,3,20,0.977295546,1,0,1,21
"E471_POOLRET73_S483_L003",471,1,7,0,3,5,1,6,22,0.971039224,1,4,5,27
"E473_POOLRET72_S263_L002",473,1,8,3,7,2,1,4,25,0.96986743,3,0,3,28
"E474_POOLRET72_S266_L002",474,1,11,3,3,3,3,0,23,0.976553671,4,1,5,28
"E475_POOLRET72_S196_L002",475,1,7,1,1,1,1,2,13,0.950087998,4,0,4,17
"E476_POOLRET72_S362_L002",476,1,5,1,2,3,1,6,18,0.977634106,4,1,5,23
"E481_POOLRET72_S296_L002",481,1,9,4,2,5,3,5,28,0.97199735,1,4,5,33
"E482_POOLRET73_S468_L003",482,1,7,0,1,1,3,4,16,0.97593224,1,2,3,19
"E483_POOLRET72_S381_L002",483,1,2,2,3,2,3,2,14,0.976446557,3,1,4,18
"E485_POOLRET72_S372_L002",485,1,7,1,6,4,0,0,18,0.967223512,1,0,1,19
"E486_POOLRET73_S531_L003",486,1,5,0,3,3,1,5,17,0.973087538,4,0,4,21
"E488_POOLRET72_S195_L002",488,1,8,0,3,4,1,4,20,0.97518507,1,1,2,22
"E489_POOLRET73_S488_L003",489,1,8,4,0,1,2,1,16,0.966218231,3,0,3,19
"E490_POOLRET72_S288_L002",490,1,10,7,0,3,2,4,26,0.972880002,3,1,4,30
"E491_POOLRET72_S214_L002",491,1,9,2,1,4,3,2,21,0.971217414,2,2,4,25
"E492_POOLRET73_S508_L003",492,1,8,1,4,2,2,2,19,0.971187749,2,1,3,22
"E493_POOLRET72_S227_L002",493,1,3,1,2,5,1,2,14,0.97861736,4,4,8,22
"E495_POOLRET72_S211_L002",495,1,6,1,5,2,1,6,21,0.973704082,2,0,2,23
"E496_POOLRET73_S535_L003",496,1,9,5,3,0,1,3,21,0.95718581,0,1,1,22
"E497_POOLRET73_S392_L003",497,1,6,3,1,0,2,3,15,0.975721414,0,0,0,15
"E499_POOLRET72_S231_L002",499,1,6,2,6,7,1,4,26,0.966589279,2,0,2,28
"H7GWFDSX7_E405_POOLRET74",405,1,5,2,1,5,1,5,19,0.980276399,6,0,6,25
"H7GWFDSX7_E412_POOLRET74",412,1,3,1,3,2,2,3,14,0.976032822,2,0,2,16
"H7GWFDSX7_E413_POOLRET74",413,1,8,2,3,3,3,3,22,0.974966426,3,1,4,26
"H7GWFDSX7_E423_POOLRET74",423,1,2,2,3,2,2,4,15,0.977437689,1,1,2,17
"H7GWFDSX7_E427_POOLRET74",427,1,9,1,3,0,3,3,19,0.974425565,0,0,0,19
"H7GWFDSX7_E428_POOLRET74",428,1,6,1,2,3,1,2,15,0.980204814,3,1,4,19
"H7GWFDSX7_E443_POOLRET74",443,1,15,2,3,0,1,1,22,0.980491702,10,1,11,33
"H7GWFDSX7_E446_POOLRET74",446,1,0,0,0,0,0,0,0,0.98045759,0,0,0,0
"H7GWFDSX7_E449_POOLRET74",449,1,3,1,5,4,2,0,15,0.965858432,1,1,2,17
"H7GWFDSX7_E450_POOLRET74",450,1,6,3,1,3,7,0,20,0.979434021,2,1,3,23
"H7GWFDSX7_E452_POOLRET74",452,1,5,1,2,3,2,1,14,0.973632168,2,2,4,18
"H7GWFDSX7_E453_POOLRET74",453,1,8,0,4,5,1,7,25,0.973158385,4,2,6,31
"H7GWFDSX7_E454_POOLRET74",454,1,5,2,4,3,3,3,20,0.966699613,2,0,2,22
"H7GWFDSX7_E455_POOLRET74",455,1,9,3,3,3,2,4,24,0.975124883,1,0,1,25
"H7GWFDSX7_E458_POOLRET74",458,1,8,1,3,3,0,3,18,0.943608197,6,0,6,24
"H7GWFDSX7_E459_POOLRET74",459,1,10,2,2,3,5,3,25,0.976615852,2,1,3,28
"H7GWFDSX7_E460_POOLRET74",460,1,6,1,4,1,1,4,17,0.980036855,2,2,4,21
"H7GWFDSX7_E461_POOLRET74",461,1,12,1,6,3,7,2,31,0.977258412,4,3,7,38
"H7GWFDSX7_E462_POOLRET74",462,1,6,1,3,2,2,4,18,0.974310495,1,3,4,22
"H7GWFDSX7_E463_POOLRET74",463,1,8,1,5,1,3,3,21,0.980336865,2,2,4,25
"H7GWFDSX7_E464_POOLRET74",464,1,9,3,8,4,1,2,27,0.977576172,4,3,7,34
"H7GWFDSX7_E466_POOLRET74",466,1,12,1,2,1,4,2,22,0.971299887,2,1,3,25
"H7GWFDSX7_E472_POOLRET74",472,1,9,2,3,5,2,2,23,0.979084841,0,0,0,23
"H7GWFDSX7_E477_POOLRET74",477,1,5,3,4,1,5,4,22,0.976434153,6,0,6,28
"H7GWFDSX7_E478_POOLRET74",478,1,10,0,3,3,0,1,17,0.978988238,3,0,3,20
"H7GWFDSX7_E479_POOLRET74",479,1,4,5,4,3,0,2,18,0.975571005,2,2,4,22
"H7GWFDSX7_E480_POOLRET74",480,1,9,0,2,5,0,2,18,0.971517564,4,0,4,22
"H7GWFDSX7_E484_POOLRET74",484,1,5,2,3,2,0,1,13,0.977079694,4,0,4,17
"H7GWFDSX7_E487_POOLRET74",487,1,7,5,2,2,2,0,18,0.971705157,1,1,2,20
"H7GWFDSX7_E494_POOLRET74",494,1,7,0,0,2,4,3,16,0.979139206,3,1,4,20
"H7GWFDSX7_E498_POOLRET74",498,1,11,1,3,4,0,2,21,0.975487614,3,3,6,27
"G201_POOLRET73_S509_L003",401,1,8,1,1,1,1,7,19,0.963420404,3,0,3,22
"G202_POOLRET73_S446_L003",402,2,5,0,3,5,0,5,18,0.973925916,0,0,0,18
"G203_POOLRET72_S273_L002",403,2,5,1,2,6,6,1,21,0.967777904,7,4,11,32
"G204_POOLRET73_S504_L003",404,2,8,0,1,1,0,2,12,0.972804508,1,2,3,15
"G206_POOLRET73_S465_L003",406,2,9,1,2,2,0,3,17,0.974240914,4,0,4,21
"G209_POOLRET72_S352_L002",409,2,0,0,0,0,0,0,0,97,0,0,0,0
"G210_POOLRET73_S494_L003",410,2,8,3,0,1,3,2,17,0.976774568,4,1,5,22
"G211_POOLRET73_S395_L003",411,2,8,0,2,4,1,2,17,0.966869516,1,2,3,20
"G212_POOLRET73_S396_L003",412,2,3,1,3,2,2,3,14,0.976032822,2,0,2,16
"G213_POOLRET72_S193_L002",413,2,8,2,3,3,3,3,22,0.974966426,3,1,4,26
"G214_POOLRET72_S332_L002",414,2,11,0,6,2,3,3,25,0.974958898,0,1,1,26
"G215_POOLRET72_S264_L002",415,2,4,3,4,3,3,4,21,0.973252884,2,0,2,23
"G216_POOLRET73_S502_L003",416,2,6,0,0,1,2,1,10,0.975159314,0,0,0,10
"G217_POOLRET73_S397_L003",417,2,13,3,4,3,0,3,26,0.96275148,2,1,3,29
"G218_POOLRET73_S521_L003",418,2,6,3,0,6,1,4,20,0.9751713,0,0,0,20
"G219_POOLRET73_S574_L003",419,2,5,4,2,6,6,2,25,0.971488717,1,0,1,26
"G221_POOLRET72_S308_L002",421,2,2,1,0,2,1,0,6,0.969476918,1,1,2,8
"G222_POOLRET72_S297_L002",422,2,3,3,3,5,3,0,17,0.973466492,3,0,3,20
"G223_POOLRET73_S451_L003",423,2,3,2,3,2,2,4,16,0.977437689,1,1,2,18
"G224_POOLRET73_S441_L003",424,2,2,1,3,2,2,5,15,0.974935914,4,0,4,19
"G226_POOLRET72_S258_L002",426,2,9,3,5,3,2,2,24,0.975244979,6,3,9,33
"G227_POOLRET72_S377_L002",427,2,9,1,3,0,3,4,20,0.974425565,0,0,0,20
"G229_POOLRET73_S539_L003",429,2,10,0,4,3,3,2,22,0.975516601,1,1,2,24
"G230_POOLRET73_S458_L003",430,2,5,4,4,1,6,5,25,0.976039463,1,0,1,26
"G231_POOLRET73_S457_L003",431,2,4,0,4,2,2,1,13,0.976791001,3,3,6,19
"G232_POOLRET73_S558_L003",432,2,5,2,5,0,3,1,16,0.964160355,1,0,1,17
"G233_POOLRET72_S242_L002",433,2,5,1,1,2,2,2,13,0.967951816,2,1,3,16
"G234_POOLRET72_S215_L002",434,2,0,0,0,0,0,0,0,0.966688106,0,0,0,0
"G235_POOLRET73_S570_L003",435,2,8,0,6,1,1,5,21,0.956196474,2,1,3,24
"G237_POOLRET72_S307_L002",437,2,7,2,8,5,3,7,32,0.975022635,4,1,5,37
"G239_POOLRET73_S444_L003",439,2,8,0,3,3,1,2,17,0.972085557,3,0,3,20
"G241_POOLRET73_S452_L003",441,2,9,2,4,4,1,1,21,0.975011936,0,2,2,23
"G242_POOLRET72_S286_L002",442,2,5,3,3,1,1,1,14,0.975687132,2,6,8,22
"G244_POOLRET73_S408_L003",444,2,2,0,4,4,6,4,20,0.975686903,2,0,2,22
"G245_POOLRET73_S519_L003",445,2,14,4,3,5,1,2,29,0.975292752,2,2,4,33
"G247_POOLRET73_S530_L003",447,2,6,1,2,6,5,1,21,0.974693747,5,2,7,28
"G248_POOLRET73_S387_L003",448,2,5,2,2,4,0,1,14,0.97635832,2,0,2,16
"G249_POOLRET72_S198_L002",449,2,3,1,5,4,2,0,15,0.965858432,1,1,2,17
"G252_POOLRET73_S481_L003",452,2,5,1,2,3,2,1,14,0.973632168,2,2,4,18
"G253_POOLRET73_S431_L003",453,2,8,0,4,5,1,7,25,0.973158385,4,2,6,31
"G254_POOLRET73_S447_L003",454,2,5,2,4,3,3,3,20,0.966699613,2,0,2,22
"G255_POOLRET72_S237_L002",455,2,9,3,3,3,2,4,24,0.975124883,1,0,1,25
"G257_POOLRET73_S540_L003",457,2,5,2,3,5,1,4,20,0.971795209,1,0,1,21
"G258_POOLRET73_S473_L003",458,2,8,1,3,3,0,3,18,0.943608197,6,0,6,24
"G259_POOLRET73_S428_L003",459,2,10,2,2,3,5,3,25,0.976615852,2,1,3,28
"G261_POOLRET72_S254_L002",461,2,12,1,6,3,7,2,31,0.977258412,4,3,7,38
"G262_POOLRET73_S394_L003",462,2,6,1,3,2,2,4,18,0.974310495,1,3,4,22
"G264_POOLRET73_S470_L003",464,2,9,3,8,4,1,2,27,0.977576172,4,3,7,34
"G265_POOLRET72_S298_L002",465,2,6,1,5,2,3,7,24,0.955193945,3,0,3,27
"G266_POOLRET73_S407_L003",466,2,12,1,2,1,4,2,22,0.971299887,2,1,3,25
"G268_POOLRET72_S342_L002",468,2,9,1,4,4,3,2,23,0.955343636,4,0,4,27
"G269_POOLRET73_S573_L003",469,2,5,0,2,3,0,4,14,0.948536721,0,1,1,15
"G270_POOLRET72_S345_L002",470,2,6,1,6,3,1,3,20,0.977295546,1,0,1,21
"G271_POOLRET73_S413_L003",471,2,7,0,3,5,1,6,22,0.971039224,1,4,5,27
"G273_POOLRET73_S525_L003",473,2,8,3,7,2,1,4,25,0.96986743,3,0,3,28
"G274_POOLRET72_S271_L002",474,2,11,3,3,3,3,0,23,0.976553671,4,1,5,28
"G277_POOLRET72_S364_L002",477,2,5,3,4,1,5,4,22,0.976434153,6,0,6,28
"G279_POOLRET72_S305_L002",479,2,4,5,4,3,0,2,18,0.975571005,2,2,4,22
"G280_POOLRET73_S487_L003",480,2,9,0,2,5,0,2,18,0.971517564,4,0,4,22
"G281_POOLRET73_S422_L003",481,2,9,4,2,5,3,5,28,0.97199735,1,4,5,33
"G282_POOLRET72_S248_L002",482,2,7,0,1,1,3,4,16,0.97593224,1,2,3,19
"G283_POOLRET73_S427_L003",483,2,2,2,3,2,3,2,14,0.976446557,3,1,4,18
"G284_POOLRET73_S463_L003",484,2,5,2,3,2,0,1,13,0.977079694,4,0,4,17
"G285_POOLRET72_S325_L002",485,2,7,1,6,4,0,0,18,0.967223512,1,0,1,19
"G286_POOLRET73_S548_L003",486,2,5,0,3,3,1,6,18,0.973087538,4,0,4,22
"G287_POOLRET73_S549_L003",487,2,7,5,2,2,2,0,18,0.971705157,1,1,2,20
"G289_POOLRET73_S537_L003",489,2,8,4,0,1,2,1,16,0.966218231,3,0,3,19
"G290_POOLRET73_S426_L003",490,2,10,7,0,3,2,4,26,0.972880002,3,1,4,30
"G295_POOLRET73_S434_L003",495,2,6,1,5,2,1,6,21,0.973704082,2,0,2,23
"G296_POOLRET73_S386_L003",496,2,9,5,3,0,1,3,21,0.95718581,0,1,1,22
"G297_POOLRET72_S331_L002",497,2,6,3,1,0,2,3,15,0.975721414,0,0,0,15
"G298_POOLRET72_S306_L002",498,2,11,1,3,4,0,2,21,0.975487614,3,3,6,27
"G299_POOLRET72_S349_L002",499,2,6,2,6,7,1,4,26,0.966589279,2,0,2,28
"H7GWFDSX7_G200_POOLRET74",400,2,4,3,4,5,3,2,21,0.977850776,4,0,4,25
"H7GWFDSX7_G205_POOLRET74",405,2,5,2,1,5,1,5,19,0.980276399,6,0,6,25
"H7GWFDSX7_G207_POOLRET74",407,2,8,4,6,3,2,4,27,0.97472089,0,1,1,28
"H7GWFDSX7_G208_POOLRET74",408,2,5,0,2,2,1,1,11,0.97808683,0,1,1,12
"H7GWFDSX7_G220_POOLRET74",420,2,9,1,2,3,2,4,21,0.9758207,3,0,3,24
"H7GWFDSX7_G225_POOLRET74",425,2,9,3,0,3,0,4,19,0.97716146,3,1,4,23
"H7GWFDSX7_G228_POOLRET74",428,2,6,1,2,3,1,2,15,0.980204814,3,1,4,19
"H7GWFDSX7_G236_POOLRET74",436,2,7,2,2,0,0,6,17,0.97690317,1,2,3,20
"H7GWFDSX7_G238_POOLRET74",438,2,6,0,4,2,2,6,20,0.978818903,2,2,4,24
"H7GWFDSX7_G240_POOLRET74",440,2,5,2,5,4,2,1,19,0.974696569,2,2,4,23
"H7GWFDSX7_G243_POOLRET74",443,2,15,2,3,0,1,1,22,0.980491702,10,1,11,33
"H7GWFDSX7_G246_POOLRET74",446,2,0,0,0,0,0,0,0,0.98045759,0,0,0,0
"H7GWFDSX7_G250_POOLRET74",450,2,6,3,1,3,7,0,20,0.979434021,2,1,3,23
"H7GWFDSX7_G251_POOLRET74",451,2,8,7,3,2,2,2,24,0.966519538,1,0,1,25
"H7GWFDSX7_G256_POOLRET74",456,2,8,0,3,0,1,2,14,0.975407922,2,1,3,17
"H7GWFDSX7_G260_POOLRET74",460,2,6,1,4,1,1,4,17,0.980036855,2,2,4,21
"H7GWFDSX7_G263_POOLRET74",463,2,8,1,5,1,3,3,21,0.980336865,2,1,3,24
"H7GWFDSX7_G267_POOLRET74",467,2,8,1,2,2,3,3,19,0.971931618,0,1,1,20
"H7GWFDSX7_G272_POOLRET74",472,2,9,2,3,5,2,2,23,0.979084841,0,0,0,23
"H7GWFDSX7_G275_POOLRET74",475,2,7,1,1,1,1,2,13,0.950087998,4,0,4,17
"H7GWFDSX7_G276_POOLRET74",476,2,5,1,2,3,1,6,18,0.977634106,4,1,5,23
"H7GWFDSX7_G278_POOLRET74",478,2,10,0,3,3,0,1,17,0.978988238,3,0,3,20
"H7GWFDSX7_G288_POOLRET74",488,2,8,0,3,4,1,4,20,0.97518507,1,2,3,23
"H7GWFDSX7_G291_POOLRET74",491,2,9,2,1,4,3,2,21,0.971217414,2,2,4,25
"H7GWFDSX7_G292_POOLRET74",492,2,8,1,4,2,2,2,19,0.971187749,2,1,3,22
"H7GWFDSX7_G293_POOLRET74",493,2,3,1,2,5,1,2,14,0.97861736,4,4,8,22
"H7GWFDSX7_G294_POOLRET74",494,2,7,0,0,2,4,3,16,0.979139206,3,1,4,20
